"SA2Code","SA2Name","Score","Team_Member","number_of_employees","Pop","percent_unemployed","number_worked_from_home","pt_to_work","dwellings_with_no_cars","Total_dwelings","percentage_houses_no_cars","dwellings_with_no_cars","Total_dwelings","percentage_houses_no_cars"
305011105,"Brisbane City",1083,"Steff",5397,10192,47.0467032967033,254,724,1280,4044,31.6518298714144,1280,4044,31.6518298714144
305011111,"Spring Hill",1028,"Dave",3411,6063,43.7407224146462,127,478,707,2197,32.1802457897132,707,2197,32.1802457897132
305011106,"Fortitude Valley",1064,"Kate",4539,7146,36.4819479429051,139,900,973,3251,29.9292525376807,973,3251,29.9292525376807
305031128,"Newstead - Bowen Hills",1132,"Steff",6877,10638,35.3543899229178,333,1421,735,4802,15.3061224489796,735,4802,15.3061224489796
304041098,"Enoggera",1053,"Kate",4684,8158,42.5839666584947,152,698,341,3021,11.2876530950017,341,3021,11.2876530950017
305041135,"Paddington - Milton",1137,"Steff",6522,10788,39.5439377085651,369,1065,396,4159,9.52151959605674,396,4159,9.52151959605674
305031130,"Windsor",1091,"Steff",4247,7190,40.9318497913769,169,922,330,2913,11.3285272914521,330,2913,11.3285272914521
305031129,"Wilston",1132,"Steff",2169,3934,44.8652770716828,136,373,69,1364,5.05865102639296,69,1364,5.05865102639296
305031123,"Grange",1136,"Steff",2288,4248,46.1393596986817,127,292,50,1446,3.45781466113416,50,1446,3.45781466113416
302031040,"Nundah",1041,"Kate",7298,12230,40.3270645952576,190,1698,681,5439,12.5206839492554,681,5439,12.5206839492554
305031126,"Kelvin Grove - Herston",1067,"Kate",4553,10081,54.8358297787918,165,882,715,3629,19.7023973546432,715,3629,19.7023973546432
302041041,"Bracken Ridge",1014,"Dave",8394,16936,50.4369390647142,303,766,152,5812,2.61527873365451,152,5812,2.61527873365451
305031131,"Wooloowin - Lutwyche",1080,"Kate",5496,9745,43.6018471010775,247,1194,401,3764,10.653560042508,401,3764,10.653560042508
303021057,"Holland Park West",1086,"Steff",3397,6338,46.4026506784475,164,527,149,2351,6.33772862611655,149,2351,6.33772862611655
303031063,"Mount Gravatt",1038,"Dave",7509,14944,49.752408993576,278,930,441,5495,8.02547770700637,441,5495,8.02547770700637
305021114,"Bulimba",1145,"Steff",3637,6704,45.7488066825776,285,649,107,2428,4.40691927512356,107,2428,4.40691927512356
303021058,"Woolloongabba",1051,"Kate",2939,5529,46.8439139084825,114,683,409,2063,19.8254968492487,409,2063,19.8254968492487
314011382,"Albany Creek",1075,"Kate",8231,15800,47.9050632911392,373,447,171,5396,3.16901408450704,171,5396,3.16901408450704
314031394,"Strathpine - Brendale",938,"Eric",5649,12270,53.960880195599,182,534,319,4473,7.13167896266488,319,4473,7.13167896266488
305011109,"New Farm",1099,"Steff",7130,12791,44.2576811820811,380,1376,945,5444,17.3585598824394,945,5444,17.3585598824394
303051076,"Rocklea - Acacia Ridge",891,"Eric",3784,9561,60.4225499424746,91,321,258,3274,7.88026878436164,258,3274,7.88026878436164
303011048,"Cannon Hill",1071,"Kate",3037,5720,46.9055944055944,132,428,152,2078,7.31472569778633,152,2078,7.31472569778633
314011386,"The Hills District",1073,"Kate",12281,23369,47.4474731481878,674,1094,170,8028,2.1175884404584,170,8028,2.1175884404584
304021086,"Bellbowrie - Moggill",1106,"Steff",5105,10103,49.4704543204989,300,394,51,3255,1.5668202764977,51,3255,1.5668202764977
304011084,"Seventeen Mile Rocks - Sinnamon Park",1109,"Steff",4846,9556,49.2884051904563,262,425,58,3097,1.87278010978366,58,3097,1.87278010978366
304021087,"Brookfield - Kenmore Hills",1146,"Steff",3154,6748,53.2602252519265,337,172,69,2099,3.28727965697951,69,2099,3.28727965697951
305021116,"Hawthorne",1146,"Steff",2821,4971,43.2508549587608,205,446,89,1787,4.98041410184667,89,1787,4.98041410184667
303011051,"Carindale",1105,"Steff",8028,15710,48.8987905792489,482,818,215,5248,4.0967987804878,215,5248,4.0967987804878
301031021,"Wynnum West - Hemmant",984,"Charlie",7120,14790,51.8593644354293,284,589,247,5364,4.60477255779269,247,5364,4.60477255779269
305041136,"Red Hill (Qld)",1116,"Steff",3293,5744,42.6706128133705,156,475,182,2135,8.52459016393443,182,2135,8.52459016393443
302041045,"Taigum - Fitzgibbon",1000,"Charlie",5955,12153,50.999753147371,169,847,351,4742,7.40194010965837,351,4742,7.40194010965837
314011385,"Eatons Hill",1114,"Steff",4323,7973,45.7795058321836,235,165,13,2396,0.542570951585977,13,2396,0.542570951585977
305031125,"Hendra",1125,"Steff",2490,4659,46.5550547327753,165,217,60,1635,3.6697247706422,60,1635,3.6697247706422
302021032,"Stafford",1013,"Dave",3455,6508,46.9114935464044,134,451,312,2729,11.4327592524734,312,2729,11.4327592524734
310011273,"Forest Lake - Doolandella",1013,"Dave",13486,27709,51.329892814609,492,1070,254,8948,2.83862315601252,254,8948,2.83862315601252
305031121,"Ascot",1109,"Steff",2814,5145,45.3061224489796,191,370,193,2098,9.19923736892278,193,2098,9.19923736892278
302041046,"Zillmere",938,"Eric",4181,8967,53.3734805397569,116,609,431,3602,11.9655746807329,431,3602,11.9655746807329
302021028,"Chermside",975,"Charlie",4318,9313,53.6347041769569,107,696,684,4082,16.7564919157276,684,4082,16.7564919157276
305031122,"Clayfield",1087,"Steff",5815,10473,44.4762723192972,306,1104,393,4283,9.17581134718655,393,4283,9.17581134718655
305011110,"South Brisbane",1082,"Steff",3796,7235,47.5328265376641,156,747,554,2723,20.3452074917371,554,2723,20.3452074917371
305011112,"West End",1084,"Steff",5256,9620,45.3638253638254,251,1142,623,3786,16.4553618594823,623,3786,16.4553618594823
304021090,"Kenmore",1119,"Steff",4290,8765,51.0553337136338,321,389,100,3061,3.26690623979092,100,3061,3.26690623979092
305011107,"Highgate Hill",1058,"Kate",3377,6329,46.6424395639122,192,534,366,2375,15.4105263157895,366,2375,15.4105263157895
305021115,"East Brisbane",1084,"Steff",3342,5786,42.2398893881784,138,658,288,2274,12.664907651715,288,2274,12.664907651715
303021054,"Fairfield - Dutton Park",1064,"Kate",2503,4790,47.7453027139875,110,478,249,1775,14.0281690140845,249,1775,14.0281690140845
304021088,"Chapel Hill",1140,"Steff",5019,10311,51.3238289205703,414,461,67,3409,1.96538574361983,67,3409,1.96538574361983
304031097,"Taringa",1100,"Steff",4587,8451,45.7223997160099,205,972,475,3641,13.0458665201868,475,3641,13.0458665201868
304031096,"St Lucia",1096,"Steff",4583,12574,63.5517735008748,244,827,740,3616,20.4646017699115,740,3616,20.4646017699115
