SA2Name,SA2Code,SA2Code.x,SA2Code.y,Score,norm_weekend_percentage,avg_trips_per_stop,reliance_on_PT,cluster
Albany Creek,314011382,314011382,314011382,1075,9.651023288,5595.764706,5.430688859,4
Albion,305031119,305031119,305031119,1094,17.26606394,39699.29167,22.64829239,2
Alderley,305031120,305031120,305031120,1106,17.47470756,15166.84444,18.43463303,2
Alexandra Hills,301011001,301011001,301011001,987,9.637096314,2048.433628,4.127060522,4
Algester,303051072,303051072,303051072,1003,18.64816408,11308.5625,9.70993117,4
Annerley,303021052,303021052,303021052,1056,21.58632345,18214.30769,18.70796183,2
Aroona - Currimundi,316021417,316021417,316021417,975,24.54331956,3375.540541,1.424694708,4
Arundel,309031235,309031235,309031235,1010,21.92726063,5761.714286,3.055555556,4
Ascot,305031121,305031121,305031121,1109,20.36193165,8266.428571,13.148543,4
Ashgrove,305041132,305041132,305041132,1135,17.3799135,12020.03614,12.80781206,4
Ashmore,309091263,309091263,309091263,1006,23.19186595,3891.019231,1.935127165,4
Aspley,302021027,302021027,302021027,1047,22.14889918,9327.212121,9.377127297,4
Auchenflower,305041133,305041133,305041133,1127,20.38571138,47973.36364,19.93073048,5
Bald Hills,302011022,302011022,302011022,1013,8.460388739,15503.35484,10.63478978,2
Balmoral,305021113,305021113,305021113,1119,13.07628198,8789.8,12.01368106,4
Bardon,305041134,305041134,305041134,1148,14.97586598,5663.114583,11.8065153,4
Beachmere - Sandstone Point,313011362,313011362,313011362,931,16.66860089,802.3448276,2.330913259,4
Beaudesert,311011305,311011305,311011305,913,7.521773555,2083.444444,0.485436893,4
Beenleigh,311021306,311021306,311021306,855,16.69266812,21324.68889,4.734667938,2
Beerwah,316061439,316061439,316061439,957,13.49345885,27960.33333,2.612152186,2
Bellbird Park - Brookwater,310041296,310041296,310041296,1041,11.96331189,27729.55172,4.98184459,2
Bellbowrie - Moggill,304021086,304021086,304021086,1106,22.48497951,26071,7.717923604,2
Belmont - Gumdale,301011002,301011002,301011002,1093,11.03276236,2663.404255,5.501955671,4
Benowa,309101267,309101267,309101267,1064,15.76640435,6434.882353,1.492537313,4
Bethania - Waterford,311051323,311051323,311051323,931,18.37343285,4351.870968,4.139382601,4
Biggera Waters,309031236,309031236,309031236,976,34.43703023,30931.3913,2.880448636,2
Birkdale,301011003,301011003,301011003,1034,11.13330478,7826.070175,5.864743503,4
Bli Bli,316071545,316071545,316071545,998,20.022398,2765.142857,1.141795008,4
Boondall,302031035,302031035,302031035,1009,15.30277883,15405.04878,11.40137259,2
Boronia Heights - Park Ridge,311031311,311031311,311031311,923,12.06329824,2265.065574,2.688282372,4
Bracken Ridge,302041041,302041041,302041041,1014,16.16588702,7094.723684,9.12556588,4
Brassall,310031283,310031283,310031283,928,16.42967319,2745.848485,2.911336568,4
Bray Park,314031391,314031391,314031391,970,8.543588508,2182.983333,6.996838778,4
Bribie Island,313011363,313011363,313011363,925,18.6505169,2460.397959,2.014443177,4
Bridgeman Downs,302011023,302011023,302011023,1126,9.863279268,7074.722222,6.325446644,4
Brighton (Qld),302041042,302041042,302041042,1024,16.67790928,2960.392857,8.975735452,4
Brisbane Airport,302031036,302031036,302031036,1134,36.39237286,29481.2381,7.547169811,2
Brisbane City,305011105,305011105,305011105,1083,25.59937056,318995.1491,13.41486011,1
Broadbeach Waters,309011224,309011224,309011224,1067,38.20644797,10536.51515,3.321817699,4
Brookfield - Kenmore Hills,304021087,304021087,304021087,1146,10.86264179,2846.484848,5.453392517,4
Browns Plains,311031312,311031312,311031312,914,19.21050569,36202.17857,4.181184669,2
Buddina - Minyama,316021418,316021418,316021418,1016,26.5878461,35644.83333,1.536360533,2
Buderim - North,316011413,316011413,316011413,1035,18.09381204,2945.38,1.397205589,4
Buderim - South,316011414,316011414,316011414,1054,17.40392422,3588.444444,1.613527817,4
Bulimba,305021114,305021114,305021114,1145,27.64727857,23364.4359,17.84437723,2
Bundall,309101268,309101268,309101268,1077,18.96580927,6761.555556,1.926523297,4
Bundamba,310031284,310031284,310031284,902,8.698381902,9539.055556,5.659340659,4
Burleigh Heads,309011225,309011225,309011225,1023,39.81220227,28840.61905,3.372093023,2
Burleigh Waters,309011226,309011226,309011226,1021,25.89542041,2947.472727,2.262443439,4
Burpengary,313041372,313041372,313041372,972,8.34413756,24362.80952,5.730440098,2
Caboolture,313021365,313021365,313021365,886,14.47592148,17986.98684,4.484035632,2
Caboolture - South,313021366,313021366,313021366,880,15.25648744,10808.41096,4.608233732,4
Calamvale - Stretton,303051073,303051073,303051073,1056,18.72519819,17679.7,10.68914229,2
Caloundra - Kings Beach,316021419,316021419,316021419,919,25.40690877,12790.28571,2.281059063,4
Caloundra - West,316021420,316021420,316021420,993,19.15200041,1591.5,1.282198054,4
Camira - Gailes,310041297,310041297,310041297,954,12.881247,2127.291667,3.947675777,4
Camp Hill,303011047,303011047,303011047,1122,13.67072031,14918.5,13.33444872,4
Cannon Hill,303011048,303011048,303011048,1071,14.61855988,19794.65306,14.09285479,2
Capalaba,301011004,301011004,301011004,991,12.42842253,5702.058333,3.824346859,4
Carina,303011049,303011049,303011049,1057,16.06635389,15609.05882,12.61983615,2
Carina Heights,303011050,303011050,303011050,1030,13.39000417,8428.823529,16.26928471,4
Carindale,303011051,303011051,303011051,1105,21.53216297,32144.18519,10.18933732,2
Carrara,309061246,309061246,309061246,1006,34.97461754,3965.233333,2.172096909,4
Carseldine,302011024,302011024,302011024,1058,21.76424126,10279.31429,12.50290495,4
Cashmere,314011383,314011383,314011383,1081,8.454791585,2659.72,4.220524873,4
Chapel Hill,304021088,304021088,304021088,1140,20.09224079,9862.595745,9.185096633,4
Chelmer - Graceville,304031092,304031092,304031092,1145,12.86738576,21917.3871,16.22712594,2
Chermside,302021028,302021028,302021028,975,25.39591142,24267.43056,16.11857341,2
Chermside West,302021029,302021029,302021029,1054,12.60002592,10773.59375,10.66450567,4
Churchill - Yamanto,310031285,310031285,310031285,959,20.60168561,2042.16129,2.12566427,4
Clayfield,305031122,305031122,305031122,1087,15.70815531,28140,18.98538263,2
Clear Island Waters,309081259,309081259,309081259,1073,34.97899534,11815,1.377726751,4
Cleveland,301021007,301021007,301021007,1009,17.42081733,12102.91765,5.280728376,4
Clontarf,313051377,313051377,313051377,948,14.74615917,3754.285714,3.812154696,4
Collingwood Park - Redbank,310041299,310041299,310041299,938,14.18816048,19780.73077,5.495397943,2
Coolangatta,309021230,309021230,309021230,963,41.38500431,29455.83333,2.157708905,2
Coolum Beach,316031425,316031425,316031425,1010,33.92890697,4961.025,1.890694239,4
Coombabah,309031237,309031237,309031237,930,26.71516451,3589.586207,2.168978562,4
Coomera,309071251,309071251,309071251,1016,17.57461125,23297.58824,3.557630393,2
Coopers Plains,303041067,303041067,303041067,978,19.33911502,18111.81395,16.23270952,2
Coorparoo,303021053,303021053,303021053,1096,14.96929704,24260.80822,18.73913043,2
Corinda,304031093,304031093,304031093,1082,1.694608884,9375,17.09075488,4
Cornubia - Carbrook,311051324,311051324,311051324,1063,6.677641126,2286.428571,3.517364203,4
Crestmead,311031314,311031314,311031314,882,12.07405827,4767.242424,3.620501636,4
Currumbin - Tugun,309021231,309021231,309021231,1001,38.74268098,10833.74603,2.354492371,4
Currumbin Waters,309021232,309021232,309021232,994,19.31880909,655.5294118,1.383587786,4
Daisy Hill,311061329,311061329,311061329,1040,9.841338607,4695.2,5.348410758,4
Dakabin - Kallangur,314021388,314021388,314021388,940,8.761485493,9275.617647,6.300720343,4
Darra - Sumner,310011271,310011271,310011271,959,8.831656604,34349.83333,12.74418605,2
Deagon,302041043,302041043,302041043,970,7.662830888,17367.54167,16.16102684,2
Deception Bay,313041373,313041373,313041373,889,14.5505192,7038.586207,3.234011628,4
Diddillibah - Rosemount,316071546,316071546,316071546,1020,23.12735628,1517,1.221001221,4
Durack,310011272,310011272,310011272,932,18.7423693,9657.896552,7.504937459,4
Eagle Farm - Pinkenba,302031037,302031037,302031037,1063,24.30014902,3022.866667,9.034907598,4
Eagleby,311021307,311021307,311021307,849,12.09408131,2459.744681,4.00829302,4
East Brisbane,305021115,305021115,305021115,1084,23.62325835,31436.81481,19.6888091,2
Eatons Hill,314011385,314011385,314011385,1114,7.793213904,7379.214286,3.816793893,4
Edens Landing - Holmview,311021308,311021308,311021308,955,12.20700892,3718.56,4.365781711,4
Eight Mile Plains,303031060,303031060,303031060,1054,20.49451112,19284.97872,14.08743928,2
Elanora,309021233,309021233,309021233,1010,25.73062887,810.8913043,1.298232961,4
Elimbah,313021367,313021367,313021367,1004,5.983098032,12244.5,3.539823009,4
Enoggera,304041098,304041098,304041098,1053,11.52836265,22576,14.90179334,2
Esk,310021278,310021278,310021278,908,25.19779647,166.2,0.355029586,4
Eumundi - Yandina,316071547,316071547,316071547,1003,33.17242242,3647.666667,0.736377025,4
Everton Park,302011025,302011025,302011025,1047,15.72391613,6392.88,10.21835913,4
Fairfield - Dutton Park,303021054,303021054,303021054,1064,15.3589825,42896.14583,19.0970835,2
Fig Tree Pocket,304021089,304021089,304021089,1170,30.8059388,8006.76,5.882352941,4
Forest Lake - Doolandella,310011273,310011273,310011273,1013,17.85777058,15269.8,7.934153937,2
Fortitude Valley,305011106,305011106,305011106,1064,25.73140122,185167.9556,19.82815598,3
Gatton,317011448,317011448,317011448,899,18.28576118,4535.375,0.57549086,4
Geebung,302021030,302021030,302021030,1041,14.08719098,10135.89189,12.43042672,4
Glass House Mountains,316061441,316061441,316061441,989,9.29571074,14786,3.382013836,4
Golden Beach - Pelican Waters,316021421,316021421,316021421,1004,19.81480546,1188.277778,1.198823796,4
Goodna,310041300,310041300,310041300,868,12.9650054,17262.02941,7.596611964,2
Grange,305031123,305031123,305031123,1136,14.14169509,5023.535714,12.76223776,4
Greenslopes,303021055,303021055,303021055,1069,19.74747449,32073.6,20.40512916,2
Gympie - North,319031512,319031512,319031512,870,24.04327911,14222,0.876120619,4
Gympie Region,319031514,319031514,319031514,935,44.03637012,152,0.767941916,4
Hamilton (Qld),305031124,305031124,305031124,1109,36.50283696,25344.27586,12.60784859,2
Hawthorne,305021116,305021116,305021116,1146,21.73950588,17468.32143,15.80999646,2
Helensvale,309071252,309071252,309071252,1035,21.52893525,22613.85075,2.484780718,2
Hendra,305031125,305031125,305031125,1125,12.65207972,4669.973684,8.714859438,4
Highgate Hill,305011107,305011107,305011107,1058,26.43254824,20826.7619,15.81285164,2
Highland Park,309061247,309061247,309061247,984,15.41323493,2130.695652,1.36239782,4
Hillcrest,311031316,311031316,311031316,978,8.661487712,7718.192308,3.111000498,4
