"SA2Code","SA2Name","Score","Team_Member","n"
112031254,"Tweed Heads",933,"Eric",4467
301011001,"Alexandra Hills",987,"Charlie",3486
301011002,"Belmont - Gumdale",1093,"Steff",3147
301011003,"Birkdale",1034,"Dave",2881
301011004,"Capalaba",991,"Charlie",4788
301011005,"Thorneside",983,"Charlie",1519
301011006,"Wellington Point",1062,"Kate",2062
301021007,"Cleveland",1009,"Charlie",5809
301021008,"Ormiston",1067,"Kate",1662
301021009,"Redland Bay",1033,"Dave",3900
301021011,"Sheldon - Mount Cotton",1088,"Steff",514
301021012,"Thornlands",1067,"Kate",4857
301021013,"Victoria Point",1004,"Charlie",4462
301021527,"Redland Islands",852,"Eric",458
301031015,"Manly - Lota",1050,"Kate",3927
301031016,"Manly West",1037,"Dave",4990
301031017,"Murarrie",1066,"Kate",2758
301031018,"Tingalpa",1026,"Dave",5239
301031019,"Wakerley",1136,"Steff",1278
301031020,"Wynnum",1019,"Dave",7179
301031021,"Wynnum West - Hemmant",984,"Charlie",6999
302011022,"Bald Hills",1013,"Dave",2049
302011023,"Bridgeman Downs",1126,"Steff",2802
302011024,"Carseldine",1058,"Kate",7716
302011025,"Everton Park",1047,"Kate",4857
302011026,"McDowall",1096,"Steff",3199
302021027,"Aspley",1047,"Kate",9149
302021028,"Chermside",975,"Charlie",14225
302021029,"Chermside West",1054,"Kate",5625
302021030,"Geebung",1041,"Kate",4293
302021031,"Kedron - Gordon Park",1075,"Kate",10395
302021032,"Stafford",1013,"Dave",9975
302021033,"Stafford Heights",1031,"Dave",3166
302021034,"Wavell Heights",1089,"Steff",7168
302031035,"Boondall",1009,"Charlie",5475
302031036,"Brisbane Airport",1134,"Steff",3642
302031037,"Eagle Farm - Pinkenba",1063,"Kate",2831
302031038,"Northgate - Virginia",1049,"Kate",8631
302031039,"Nudgee - Banyo",1038,"Dave",4988
302031040,"Nundah",1041,"Kate",9284
302041041,"Bracken Ridge",1014,"Dave",10903
302041042,"Brighton (Qld)",1024,"Dave",3174
302041043,"Deagon",970,"Charlie",2294
302041044,"Sandgate - Shorncliffe",1039,"Dave",4947
302041045,"Taigum - Fitzgibbon",1000,"Charlie",5326
302041046,"Zillmere",938,"Eric",7077
303011047,"Camp Hill",1122,"Steff",8637
303011048,"Cannon Hill",1071,"Kate",5530
303011049,"Carina",1057,"Kate",7985
303011050,"Carina Heights",1030,"Dave",6646
303011051,"Carindale",1105,"Steff",21246
303021052,"Annerley",1056,"Kate",10218
303021053,"Coorparoo",1096,"Steff",14411
303021054,"Fairfield - Dutton Park",1064,"Kate",21558
303021055,"Greenslopes",1069,"Kate",18513
303021056,"Holland Park",1057,"Kate",10414
303021057,"Holland Park West",1086,"Steff",7027
303021058,"Woolloongabba",1051,"Kate",31930
303021059,"Yeronga",1090,"Steff",9191
303031060,"Eight Mile Plains",1054,"Kate",6331
303031061,"Macgregor (Qld)",1019,"Dave",4464
303031062,"Mansfield (Qld)",1038,"Dave",8558
303031063,"Mount Gravatt",1038,"Dave",18699
303031064,"Rochedale - Burbank",1125,"Steff",5071
303031065,"Upper Mount Gravatt",1016,"Dave",26830
303031066,"Wishart",1060,"Kate",7554
303041067,"Coopers Plains",978,"Charlie",8760
303041068,"Moorooka",1039,"Dave",9688
303041069,"Robertson",1038,"Dave",4039
303041070,"Salisbury - Nathan",1033,"Dave",11653
303041071,"Tarragindi",1110,"Steff",7946
303051072,"Algester",1003,"Charlie",5190
303051073,"Calamvale - Stretton",1056,"Kate",14297
303051074,"Pallara - Willawong",1061,"Kate",2172
303051075,"Parkinson - Drewvale",1064,"Kate",8474
303051076,"Rocklea - Acacia Ridge",891,"Eric",8686
303061077,"Kuraby",1046,"Kate",2101
303061078,"Runcorn",1007,"Charlie",11244
303061079,"Sunnybank",997,"Charlie",10914
303061080,"Sunnybank Hills",1015,"Dave",14540
304011081,"Jindalee - Mount Ommaney",1095,"Steff",4354
304011082,"Middle Park - Jamboree Heights",1065,"Kate",1982
304011083,"Riverhills",1049,"Kate",1496
304011084,"Seventeen Mile Rocks - Sinnamon Park",1109,"Steff",3641
304011085,"Westlake",1123,"Steff",1314
304021086,"Bellbowrie - Moggill",1106,"Steff",7875
304021087,"Brookfield - Kenmore Hills",1146,"Steff",2708
304021088,"Chapel Hill",1140,"Steff",7545
304021089,"Fig Tree Pocket",1170,"Steff",2070
304021090,"Kenmore",1119,"Steff",10010
304021091,"Pinjarra Hills - Pullenvale",1161,"Steff",3500
304031092,"Chelmer - Graceville",1145,"Steff",5731
304031093,"Corinda",1082,"Steff",2441
304031094,"Indooroopilly",1097,"Steff",17458
304031095,"Sherwood",1098,"Steff",2683
304031096,"St Lucia",1096,"Steff",19209
304031097,"Taringa",1100,"Steff",11021
304041098,"Enoggera",1053,"Kate",7703
304041100,"Keperra",990,"Charlie",4167
304041101,"Mitchelton",1068,"Kate",7210
304041103,"The Gap",1114,"Steff",14206
304041104,"Upper Kedron - Ferny Grove",1090,"Steff",2280
305011105,"Brisbane City",1083,"Steff",106254
305011106,"Fortitude Valley",1064,"Kate",32435
305011107,"Highgate Hill",1058,"Kate",5352
305011108,"Kangaroo Point",1085,"Steff",4913
305011109,"New Farm",1099,"Steff",26765
305011110,"South Brisbane",1082,"Steff",75807
305011111,"Spring Hill",1028,"Dave",5142
305011112,"West End",1084,"Steff",23875
305021113,"Balmoral",1119,"Steff",2621
305021114,"Bulimba",1145,"Steff",6127
305021115,"East Brisbane",1084,"Steff",7233
305021116,"Hawthorne",1146,"Steff",2582
305021117,"Morningside - Seven Hills",1088,"Steff",8346
305021118,"Norman Park",1136,"Steff",6965
305031119,"Albion",1094,"Steff",6157
305031120,"Alderley",1106,"Steff",6734
305031121,"Ascot",1109,"Steff",6482
305031122,"Clayfield",1087,"Steff",13156
305031123,"Grange",1136,"Steff",3145
305031124,"Hamilton (Qld)",1109,"Steff",4630
305031125,"Hendra",1125,"Steff",4705
305031126,"Kelvin Grove - Herston",1067,"Kate",26466
305031127,"Newmarket",1082,"Steff",7019
305031128,"Newstead - Bowen Hills",1132,"Steff",21752
305031129,"Wilston",1132,"Steff",2934
305031130,"Windsor",1091,"Steff",13040
305031131,"Wooloowin - Lutwyche",1080,"Kate",14067
305041132,"Ashgrove",1135,"Steff",13904
305041133,"Auchenflower",1127,"Steff",7249
305041134,"Bardon",1148,"Steff",10965
305041135,"Paddington - Milton",1137,"Steff",24183
305041136,"Red Hill (Qld)",1116,"Steff",5481
305041137,"Toowong",1112,"Steff",12952
309011224,"Broadbeach Waters",1067,"Kate",14291
309011225,"Burleigh Heads",1023,"Dave",28375
309011226,"Burleigh Waters",1021,"Dave",11425
309011227,"Mermaid Beach - Broadbeach",1022,"Dave",41185
309011228,"Mermaid Waters",1020,"Dave",17139
309011229,"Miami",1022,"Dave",15692
309021230,"Coolangatta",963,"Charlie",17862
309021231,"Currumbin - Tugun",1001,"Charlie",42073
309021232,"Currumbin Waters",994,"Charlie",2925
309021233,"Elanora",1010,"Charlie",8248
309021234,"Palm Beach",996,"Charlie",50430
309031235,"Arundel",1010,"Dave",11016
309031236,"Biggera Waters",976,"Charlie",14040
309031237,"Coombabah",930,"Eric",14845
309031238,"Labrador",925,"Eric",25879
309031239,"Paradise Point - Hollywell",1051,"Kate",13184
309031240,"Runaway Bay",1023,"Dave",15520
309051244,"Mudgeeraba - Bonogin",1040,"Dave",3497
309051245,"Reedy Creek - Andrews",1061,"Kate",2640
309061246,"Carrara",1006,"Charlie",6544
309061247,"Highland Park",984,"Charlie",3100
309061248,"Nerang - Mount Nathan",962,"Charlie",16728
309061249,"Pacific Pines - Gaven",1019,"Dave",8140
309061250,"Worongary - Tallai",1052,"Kate",1076
309071251,"Coomera",1016,"Dave",5882
309071252,"Helensvale",1035,"Dave",16630
309071253,"Hope Island",1080,"Kate",1352
309071255,"Ormeau - Yatala",1030,"Dave",4466
309071256,"Oxenford - Maudsland",1017,"Dave",4385
309071257,"Pimpama",977,"Charlie",2472
309071258,"Upper Coomera - Willow Vale",1012,"Dave",5874
309081259,"Clear Island Waters",1073,"Kate",1752
309081260,"Merrimac",983,"Charlie",2117
309081261,"Robina",1039,"Dave",28601
309081262,"Varsity Lakes",1008,"Charlie",18752
309091263,"Ashmore",1006,"Charlie",13792
309091264,"Molendinar",1003,"Charlie",5376
309091265,"Parkwood",1027,"Dave",9250
309091540,"Southport - North",939,"Eric",45499
309091541,"Southport - South",978,"Charlie",11447
309101267,"Benowa",1064,"Kate",4975
309101268,"Bundall",1077,"Kate",2582
309101269,"Main Beach",1064,"Kate",15681
309101270,"Surfers Paradise",983,"Charlie",27579
310011271,"Darra - Sumner",959,"Charlie",2892
310011272,"Durack",932,"Eric",8287
310011273,"Forest Lake - Doolandella",1013,"Dave",16083
310011274,"Inala - Richlands",798,"Eric",10674
310011275,"Oxley (Qld)",1051,"Kate",5290
310011276,"Wacol",793,"Eric",4446
310021278,"Esk",908,"Eric",24
310021280,"Lockyer Valley - East",917,"Eric",196
310021281,"Lowood",918,"Eric",108
310021282,"Rosewood",952,"Eric",2331
310031283,"Brassall",928,"Eric",3556
310031284,"Bundamba",902,"Eric",7159
310031285,"Churchill - Yamanto",959,"Charlie",3494
310031286,"Ipswich - Central",933,"Eric",10600
310031287,"Ipswich - East",906,"Eric",8568
310031288,"Ipswich - North",1033,"Dave",48
310031291,"Leichhardt - One Mile",843,"Eric",4010
310031292,"North Ipswich - Tivoli",905,"Eric",6437
310031293,"Raceview",948,"Eric",3526
310031295,"Riverview",798,"Eric",2705
310041296,"Bellbird Park - Brookwater",1041,"Kate",3910
310041297,"Camira - Gailes",954,"Eric",2172
310041299,"Collingwood Park - Redbank",938,"Eric",3638
310041300,"Goodna",868,"Eric",3948
310041302,"Redbank Plains",906,"Eric",3189
310041303,"Springfield",1005,"Charlie",2765
310041304,"Springfield Lakes",1046,"Kate",4699
311011305,"Beaudesert",913,"Eric",125
311021306,"Beenleigh",855,"Eric",5872
311021307,"Eagleby",849,"Eric",1516
311021308,"Edens Landing - Holmview",955,"Charlie",1825
311021309,"Mount Warren Park",951,"Eric",1119
311021310,"Wolffdene - Bahrs Scrub",1022,"Dave",479
311031311,"Boronia Heights - Park Ridge",923,"Eric",2052
311031312,"Browns Plains",914,"Eric",5111
311031314,"Crestmead",882,"Eric",1839
311031316,"Hillcrest",978,"Charlie",1061
311031317,"Marsden",873,"Eric",2726
311031318,"Munruben - Park Ridge South",1013,"Dave",75
311031319,"Regents Park - Heritage Park",977,"Charlie",2750
311041320,"Greenbank",1028,"Dave",50
311041321,"Jimboomba",997,"Charlie",100
311051323,"Bethania - Waterford",931,"Eric",1907
311051324,"Cornubia - Carbrook",1063,"Kate",364
311051325,"Loganholme - Tanah Merah",995,"Charlie",1690
311051326,"Loganlea",898,"Eric",5985
311051327,"Shailer Park",1052,"Kate",5026
311051328,"Waterford West",885,"Eric",1849
311061329,"Daisy Hill",1040,"Kate",1789
311061330,"Kingston (Qld.)",822,"Eric",3984
311061331,"Logan Central",773,"Eric",3903
311061332,"Rochedale South - Priestdale",1026,"Dave",2598
311061333,"Slacks Creek",882,"Eric",3481
311061334,"Springwood",1020,"Dave",3567
311061335,"Underwood",1036,"Dave",938
311061336,"Woodridge",796,"Eric",4571
313011362,"Beachmere - Sandstone Point",931,"Eric",1970
313011363,"Bribie Island",925,"Eric",4239
313021365,"Caboolture",886,"Eric",3911
313021366,"Caboolture - South",880,"Eric",4927
313021367,"Elimbah",1004,"Charlie",393
313021368,"Morayfield - East",914,"Eric",999
313041372,"Burpengary",972,"Charlie",2463
313041373,"Deception Bay",889,"Eric",4963
313041375,"Narangba",1027,"Dave",3135
313051377,"Clontarf",948,"Eric",2980
313051378,"Margate - Woody Point",931,"Eric",4397
313051379,"Redcliffe",921,"Eric",7194
313051380,"Rothwell - Kippa-Ring",922,"Eric",10510
313051542,"Scarborough - Newport - Moreton Island",1016,"Dave",5051
314011382,"Albany Creek",1075,"Kate",4301
314011383,"Cashmere",1081,"Kate",1850
314011385,"Eatons Hill",1114,"Steff",1886
314011386,"The Hills District",1073,"Kate",4670
314011387,"Samford Valley",1130,"Steff",65
314021388,"Dakabin - Kallangur",940,"Eric",6719
314021389,"Murrumba Downs - Griffin",1023,"Dave",3985
314021390,"North Lakes - Mango Hill",1041,"Kate",9298
314031391,"Bray Park",970,"Charlie",3138
314031392,"Lawnton",944,"Eric",3362
314031393,"Petrie",1001,"Charlie",3120
314031394,"Strathpine - Brendale",938,"Eric",6959
316011413,"Buderim - North",1035,"Dave",2210
316011414,"Buderim - South",1054,"Kate",2126
316011415,"Mountain Creek",1029,"Dave",1634
316011416,"Sippy Downs",985,"Charlie",2285
316021417,"Aroona - Currimundi",975,"Charlie",3038
316021418,"Buddina - Minyama",1016,"Dave",2096
316021419,"Caloundra - Kings Beach",919,"Eric",3082
316021420,"Caloundra - West",993,"Charlie",1431
316021421,"Golden Beach - Pelican Waters",1004,"Charlie",1312
316021422,"Moffat Beach - Battery Hill",993,"Charlie",3877
316021423,"Parrearra - Warana",1013,"Dave",6129
316021424,"Wurtulla - Birtinya",1012,"Dave",2553
316031425,"Coolum Beach",1010,"Dave",3054
316031426,"Marcoola - Mudjimba",996,"Charlie",3407
316031427,"Maroochydore - Kuluin",967,"Charlie",6262
316031428,"Mooloolaba - Alexandra Headland",1008,"Charlie",6978
316051434,"Noosa Heads",1055,"Kate",4445
316051435,"Noosaville",1014,"Dave",6102
316051437,"Sunshine Beach",1036,"Dave",2766
316051438,"Tewantin",957,"Charlie",4628
316051543,"Peregian Beach - Marcus Beach",1041,"Kate",1344
316051544,"Peregian Springs",1056,"Kate",481
316061439,"Beerwah",957,"Charlie",414
316061441,"Glass House Mountains",989,"Charlie",786
316061442,"Landsborough",991,"Charlie",1250
316061444,"Palmwoods",1022,"Dave",832
316071545,"Bli Bli",998,"Charlie",839
316071546,"Diddillibah - Rosemount",1020,"Dave",326
316071547,"Eumundi - Yandina",1003,"Charlie",467
316071548,"Nambour",936,"Eric",4359
316081549,"Noosa Hinterland",994,"Charlie",680
317011448,"Gatton",899,"Eric",180
317011451,"Lockyer Valley - West",979,"Charlie",8
319031512,"Gympie - North",870,"Eric",42
319031514,"Gympie Region",935,"Eric",42
NA,NA,0,"unassigned",1428
