"SA2Code","SA2Name","Team_Member","number_of_employees","number_worked_from_home","percentage_wfh"
311031314,"Crestmead","Eric",4585,64,0.013958560523446
310031291,"Leichhardt - One Mile","Eric",2578,43,0.0166795965865012
311061336,"Woodridge","Eric",3837,69,0.017982799061767
310031295,"Riverview","Eric",829,15,0.0180940892641737
311031317,"Marsden","Eric",5219,95,0.0182027208277448
310031285,"Churchill - Yamanto","Charlie",3199,60,0.0187558612066271
310031284,"Bundamba","Eric",3640,70,0.0192307692307692
311061330,"Kingston (Qld.)","Eric",3312,65,0.0196256038647343
310031293,"Raceview","Eric",6620,136,0.0205438066465257
310011274,"Inala - Richlands","Eric",5333,115,0.0215638477404838
311051326,"Loganlea","Eric",4137,92,0.0222383369591491
310041302,"Redbank Plains","Eric",7643,181,0.0236818003401806
311061331,"Logan Central","Eric",1628,39,0.023955773955774
310031283,"Brassall","Eric",4534,109,0.0240405822673136
303051076,"Rocklea - Acacia Ridge","Eric",3784,91,0.0240486257928118
313021366,"Caboolture - South","Eric",7530,184,0.0244355909694555
302021028,"Chermside","Charlie",4318,107,0.0247799907364521
310031292,"North Ipswich - Tivoli","Eric",2472,62,0.0250809061488673
303041067,"Coopers Plains","Charlie",2458,62,0.0252237591537836
310041299,"Collingwood Park - Redbank","Eric",3694,94,0.0254466702761234
311031312,"Browns Plains","Eric",3157,81,0.0256572695597086
310041300,"Goodna","Eric",3778,97,0.0256749602964532
302031040,"Nundah","Kate",7298,190,0.0260345300082214
317011448,"Gatton","Eric",2954,78,0.026404874746107
310031287,"Ipswich - East","Eric",7088,190,0.0268058690744921
314021388,"Dakabin - Kallangur","Eric",10967,296,0.026990061092368
313021368,"Morayfield - East","Eric",3613,98,0.027124273456961
311021307,"Eagleby","Eric",4341,118,0.0271826768025801
311021308,"Edens Landing - Holmview","Charlie",3390,93,0.0274336283185841
314031391,"Bray Park","Charlie",4745,131,0.0276080084299262
302041046,"Zillmere","Eric",4181,116,0.02774455871801
311031319,"Regents Park - Heritage Park","Charlie",7865,220,0.027972027972028
302011022,"Bald Hills","Dave",3639,102,0.0280296784830998
311021306,"Beenleigh","Eric",3147,89,0.0282809024467747
302031035,"Boondall","Charlie",4517,128,0.0283373920743857
302041045,"Taigum - Fitzgibbon","Charlie",5955,169,0.0283795130142737
314031392,"Lawnton","Eric",2745,78,0.0284153005464481
311061333,"Slacks Creek","Eric",3961,113,0.0285281494572078
310041303,"Springfield","Charlie",3420,98,0.0286549707602339
302031037,"Eagle Farm - Pinkenba","Kate",487,14,0.0287474332648871
310011272,"Durack","Eric",3038,90,0.0296247531270573
313051380,"Rothwell - Kippa-Ring","Eric",6715,199,0.0296351451973194
311051328,"Waterford West","Eric",2712,81,0.0298672566371681
313041373,"Deception Bay","Eric",8256,250,0.030281007751938
305011106,"Fortitude Valley","Kate",4539,139,0.0306234853491959
309091540,"Southport - North","Eric",6160,190,0.0308441558441558
310011276,"Wacol","Eric",836,26,0.0311004784688995
314031393,"Petrie","Charlie",4324,136,0.0314523589269195
310041304,"Springfield Lakes","Kate",7974,254,0.0318535239528468
303031065,"Upper Mount Gravatt","Dave",4127,132,0.031984492367337
314031394,"Strathpine - Brendale","Eric",5649,182,0.0322180916976456
304041098,"Enoggera","Kate",4684,152,0.0324508966695132
311051323,"Bethania - Waterford","Eric",4276,141,0.0329747427502339
310011271,"Darra - Sumner","Charlie",2150,71,0.0330232558139535
311021309,"Mount Warren Park","Eric",2539,84,0.0330838912957857
303021055,"Greenslopes","Kate",5381,180,0.0334510314068017
304041100,"Keperra","Charlie",3002,101,0.0336442371752165
310041297,"Camira - Gailes","Eric",4281,145,0.0338705909834151
314021389,"Murrumba Downs - Griffin","Dave",8735,297,0.0340011448196909
302031039,"Nudgee - Banyo","Dave",4870,166,0.0340862422997947
302031038,"Northgate - Virginia","Kate",3645,127,0.0348422496570645
309071257,"Pimpama","Charlie",4007,140,0.0349388570002496
301011001,"Alexandra Hills","Charlie",8311,291,0.0350138370833835
313021365,"Caboolture","Eric",9991,350,0.035031528375538
303051072,"Algester","Charlie",4068,145,0.0356440511307768
301031018,"Tingalpa","Dave",4536,162,0.0357142857142857
302041041,"Bracken Ridge","Dave",8394,303,0.0360972122944961
305031126,"Kelvin Grove - Herston","Kate",4553,165,0.0362398418625082
313051377,"Clontarf","Eric",3620,132,0.0364640883977901
